@RELATION ai_job_market_true_only

@ATTRIBUTE 'AWS' {t}
@ATTRIBUTE 'Azure' {t}
@ATTRIBUTE 'BigQuery' {t}
@ATTRIBUTE 'Cplusplus' {t}
@ATTRIBUTE 'CUDA' {t}
@ATTRIBUTE 'Excel' {t}
@ATTRIBUTE 'FastAPI' {t}
@ATTRIBUTE 'Flask' {t}
@ATTRIBUTE 'GCP' {t}
@ATTRIBUTE 'Hugging Face' {t}
@ATTRIBUTE 'KDBplus' {t}
@ATTRIBUTE 'Keras' {t}
@ATTRIBUTE 'LangChain' {t}
@ATTRIBUTE 'MLflow' {t}
@ATTRIBUTE 'NumPy' {t}
@ATTRIBUTE 'Pandas' {t}
@ATTRIBUTE 'Power BI' {t}
@ATTRIBUTE 'PyTorch' {t}
@ATTRIBUTE 'Python' {t}
@ATTRIBUTE 'R' {t}
@ATTRIBUTE 'Reinforcement Learning' {t}
@ATTRIBUTE 'SQL' {t}
@ATTRIBUTE 'Scikit-learn' {t}
@ATTRIBUTE 'TensorFlow' {t}

@DATA
?,?,?,?,?,?,t,?,t,?,t,?,t,?,t,?,?,t,?,?,t,?,t,?
?,?,?,?,t,?,t,?,?,?,t,?,?,?,?,t,?,?,?,?,?,t,t,t
?,t,t,?,?,?,t,?,t,?,?,?,?,t,?,?,?,t,?,?,?,t,t,?
t,?,t,t,?,?,?,?,?,?,?,?,t,t,?,t,?,?,?,t,?,?,t,t
?,?,?,?,?,t,?,?,?,t,?,t,t,?,?,?,?,t,?,?,?,t,?,?
?,?,?,?,?,t,t,?,t,?,?,?,?,t,?,?,?,t,?,?,?,?,t,t
?,?,?,?,?,?,?,t,t,?,?,?,?,t,?,?,?,t,t,?,?,?,t,?
?,?,t,?,?,t,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,?
?,t,t,?,?,?,?,?,t,?,?,?,t,?,?,t,?,?,?,?,?,?,t,?
?,?,?,?,?,t,?,?,?,?,?,?,?,t,?,?,?,?,?,?,t,?,?,t
?,?,t,?,?,?,?,?,?,?,?,t,t,t,?,?,?,?,?,?,t,?,t,?
?,?,t,?,?,t,?,?,?,?,?,t,?,?,?,?,?,t,?,?,t,?,t,t
?,?,?,t,?,?,t,?,?,t,?,?,t,?,?,?,?,?,t,?,?,?,?,?
?,?,?,?,?,t,t,?,?,t,?,?,t,t,t,?,?,?,?,?,?,?,t,t
?,?,?,?,t,?,t,?,?,?,?,?,?,?,t,t,?,?,?,?,?,?,?,?
?,?,?,?,?,?,?,?,?,t,?,?,?,?,?,?,?,?,?,?,t,?,t,t
?,?,?,t,?,?,?,?,?,?,?,?,t,t,?,?,?,?,?,t,?,?,?,?
?,?,t,?,?,t,?,t,?,t,?,?,?,t,?,?,t,?,?,?,?,?,?,?
t,t,t,?,t,?,t,?,?,t,t,?,?,?,?,?,t,?,?,?,t,?,?,?
t,?,?,?,t,?,?,?,?,?,?,?,?,t,?,?,t,?,?,t,?,?,?,?
?,t,t,t,?,?,?,?,?,?,?,t,?,?,?,?,t,t,?,t,?,t,t,?
?,?,?,t,t,?,?,?,?,?,?,?,t,t,t,?,?,t,?,t,?,?,?,?
?,?,?,?,t,?,t,?,?,t,t,?,?,t,?,?,?,t,?,?,?,?,t,?
?,?,?,t,t,?,?,t,?,t,?,?,?,?,?,?,?,t,?,?,?,?,t,?
?,?,?,?,?,?,t,?,?,?,?,?,?,t,?,?,?,?,t,?,t,?,?,?
?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,t,t,t,t,t,?,?,?
?,t,?,?,?,?,t,t,?,t,?,?,?,?,?,?,t,?,t,?,?,?,t,t
?,?,?,?,?,?,?,?,?,?,?,?,?,t,?,t,?,t,t,t,?,?,?,?
?,?,?,?,?,?,t,t,?,t,?,t,t,?,?,t,?,?,t,?,?,?,t,?
?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,t,t,t
?,?,?,?,?,t,?,?,?,?,t,t,?,?,?,?,?,t,?,?,?,?,?,t
?,t,?,t,?,t,?,?,?,t,t,?,t,?,?,?,?,?,?,?,?,?,t,?
t,?,?,?,t,?,t,?,?,?,?,t,?,?,?,?,?,t,?,?,?,?,t,t
?,?,?,?,?,?,?,?,t,?,?,t,?,t,?,?,t,t,?,?,?,t,?,?
?,?,?,t,?,t,?,?,t,?,?,?,?,?,?,?,?,?,?,?,?,?,t,t
?,?,?,?,?,?,t,?,?,?,?,?,t,t,?,?,?,t,?,t,?,?,t,?
?,?,?,?,?,t,?,?,?,?,t,?,t,?,?,?,?,?,t,?,?,t,t,?
?,?,?,?,?,?,?,?,?,t,?,?,?,t,?,?,?,?,?,?,?,t,?,t
t,?,?,?,?,?,t,?,?,?,?,?,t,?,?,?,t,t,?,?,?,?,?,?
?,?,?,?,t,?,t,?,t,?,?,t,t,?,?,?,t,t,?,?,?,?,t,?
t,?,t,?,?,t,?,?,?,?,?,t,?,?,t,?,?,?,?,?,?,t,t,t
