support,itemsets
0.202,frozenset({'AWS'})
0.2065,frozenset({'Azure'})
0.247,frozenset({'BigQuery'})
0.195,frozenset({'C++'})
0.1985,frozenset({'CUDA'})
0.216,frozenset({'Excel'})
0.406,frozenset({'FastAPI'})
0.199,frozenset({'Flask'})
0.202,frozenset({'GCP'})
0.204,frozenset({'Hugging Face'})
0.2495,frozenset({'KDB+'})
0.203,frozenset({'Keras'})
0.405,frozenset({'LangChain'})
0.4055,frozenset({'MLflow'})
0.208,frozenset({'NumPy'})
0.2135,frozenset({'Pandas'})
0.202,frozenset({'Power BI'})
0.393,frozenset({'PyTorch'})
0.201,frozenset({'Python'})
0.1965,frozenset({'R'})
0.207,frozenset({'Reinforcement Learning'})
0.204,frozenset({'SQL'})
0.398,frozenset({'Scikit-learn'})
0.4125,frozenset({'TensorFlow'})
0.04,"frozenset({'AWS', 'Azure'})"
0.05,"frozenset({'AWS', 'BigQuery'})"
0.0815,"frozenset({'AWS', 'FastAPI'})"
0.039,"frozenset({'AWS', 'Flask'})"
0.0395,"frozenset({'AWS', 'GCP'})"
0.0495,"frozenset({'AWS', 'KDB+'})"
0.084,"frozenset({'AWS', 'LangChain'})"
0.076,"frozenset({'AWS', 'MLflow'})"
0.0405,"frozenset({'AWS', 'NumPy'})"
0.039,"frozenset({'AWS', 'Power BI'})"
0.073,"frozenset({'AWS', 'PyTorch'})"
0.041,"frozenset({'AWS', 'Python'})"
0.045,"frozenset({'AWS', 'SQL'})"
0.0725,"frozenset({'AWS', 'Scikit-learn'})"
0.0785,"frozenset({'AWS', 'TensorFlow'})"
0.057,"frozenset({'Azure', 'BigQuery'})"
0.0395,"frozenset({'Azure', 'C++'})"
0.042,"frozenset({'CUDA', 'Azure'})"
0.073,"frozenset({'Azure', 'FastAPI'})"
0.039,"frozenset({'Azure', 'Flask'})"
0.0405,"frozenset({'Azure', 'Hugging Face'})"
0.057,"frozenset({'Azure', 'KDB+'})"
0.086,"frozenset({'LangChain', 'Azure'})"
0.0745,"frozenset({'Azure', 'MLflow'})"
0.04,"frozenset({'Pandas', 'Azure'})"
0.078,"frozenset({'Azure', 'PyTorch'})"
0.039,"frozenset({'Azure', 'R'})"
0.0845,"frozenset({'Azure', 'Scikit-learn'})"
0.0785,"frozenset({'Azure', 'TensorFlow'})"
0.047,"frozenset({'BigQuery', 'C++'})"
0.055,"frozenset({'CUDA', 'BigQuery'})"
0.053,"frozenset({'Excel', 'BigQuery'})"
0.078,"frozenset({'BigQuery', 'FastAPI'})"
0.0505,"frozenset({'BigQuery', 'Flask'})"
0.047,"frozenset({'BigQuery', 'GCP'})"
0.0565,"frozenset({'BigQuery', 'Hugging Face'})"
0.047,"frozenset({'BigQuery', 'KDB+'})"
0.0485,"frozenset({'BigQuery', 'Keras'})"
0.0875,"frozenset({'LangChain', 'BigQuery'})"
0.091,"frozenset({'BigQuery', 'MLflow'})"
0.0505,"frozenset({'BigQuery', 'NumPy'})"
0.047,"frozenset({'Pandas', 'BigQuery'})"
0.0555,"frozenset({'Power BI', 'BigQuery'})"
0.0845,"frozenset({'BigQuery', 'PyTorch'})"
0.0445,"frozenset({'BigQuery', 'Python'})"
0.049,"frozenset({'BigQuery', 'R'})"
0.0505,"frozenset({'BigQuery', 'Reinforcement Learning'})"
0.0535,"frozenset({'SQL', 'BigQuery'})"
0.0885,"frozenset({'BigQuery', 'Scikit-learn'})"
0.0935,"frozenset({'BigQuery', 'TensorFlow'})"
0.0795,"frozenset({'C++', 'FastAPI'})"
0.0455,"frozenset({'C++', 'KDB+'})"
0.0705,"frozenset({'LangChain', 'C++'})"
0.074,"frozenset({'C++', 'MLflow'})"
0.04,"frozenset({'C++', 'NumPy'})"
0.076,"frozenset({'C++', 'PyTorch'})"
0.0735,"frozenset({'C++', 'Scikit-learn'})"
0.0745,"frozenset({'C++', 'TensorFlow'})"
0.04,"frozenset({'CUDA', 'Excel'})"
0.081,"frozenset({'CUDA', 'FastAPI'})"
0.039,"frozenset({'CUDA', 'GCP'})"
0.054,"frozenset({'CUDA', 'KDB+'})"
0.0665,"frozenset({'CUDA', 'LangChain'})"
0.0765,"frozenset({'CUDA', 'MLflow'})"
0.0415,"frozenset({'CUDA', 'Power BI'})"
0.0745,"frozenset({'CUDA', 'PyTorch'})"
0.0735,"frozenset({'CUDA', 'Scikit-learn'})"
